COUNTRY,YEAR,EXR_EUR,EXR_USD,INTEREST_RATE_ST,INTEREST_RATE_LT,NOMINAL_GDP_GROWTH,PRIMARY_BALANCE
AUT,2001,0.0,-0.028000000000000025,-0.12989999999999924,-0.47999999999999954,-1.320658978770628,1.7000000000000002
AUT,2002,0.0,0.050000000000000044,-0.9465000000000003,-0.1200000000000001,-0.6748253635296964,-0.8000000000000003
AUT,2003,0.0,0.1856,-0.9900000000000002,-0.8200000000000003,-0.18191266176992293,-0.7
AUT,2004,0.0,0.11270000000000002,-0.22309999999999963,-0.009999999999999787,1.9144661633749616,-3.2
AUT,2005,0.0,0.00019999999999997797,0.07749999999999968,-0.7399999999999998,0.5735623882764829,2.5
AUT,2006,0.0,0.011500000000000066,0.8938999999999999,0.4099999999999997,0.46975274409930545,-0.09999999999999964
AUT,2007,0.0,0.1149,1.1991999999999998,0.5,0.738923731431651,1.2000000000000002
AUT,2008,0.0,0.10030000000000006,0.36630000000000074,0.0600000000000005,-2.7045493661147946,-0.40000000000000036
AUT,2009,0.0,-0.07600000000000007,-3.4254000000000007,-0.4200000000000004,-5.324468109815683,-3.6
AUT,2010,0.0,-0.06909999999999994,-0.4041999999999999,-0.71,4.625711573697977,0.7000000000000002
AUT,2011,0.0,0.0662999999999998,0.5791,0.08999999999999986,2.084217842058078,1.7999999999999998
AUT,2012,0.0,-0.10719999999999996,-0.8197,-0.9499999999999997,-2.067606794632182,0.2999999999999998
AUT,2013,0.0,0.043300000000000116,-0.35319999999999996,-0.3600000000000003,-1.2793509655719015,0.10000000000000053
AUT,2014,0.0,0.00039999999999995595,-0.01200000000000001,-0.5199999999999998,1.3240055035612874,-0.10000000000000009
AUT,2015,0.0,-0.21900000000000008,-0.2287,-0.74,0.8483074900547782,1.2999999999999998
AUT,2016,0.0,-0.0025999999999999357,-0.24459999999999998,-0.37,0.34437929229880204,-1.2999999999999998
AUT,2017,0.0,0.02279999999999993,-0.06420000000000003,0.19999999999999996,-0.7006762425415536,0.3999999999999999
AUT,2018,0.0,0.05130000000000012,0.006900000000000017,0.10999999999999999,1.0699450078955675,0.8
AUT,2019,0.0,-0.06150000000000011,-0.03489999999999999,-0.6299999999999999,-1.0851371972883772,0.09999999999999987
AUT,2020,0.0,0.022700000000000164,-0.07030000000000003,-0.28,-7.1435017187723275,-8.7
AUT,2021,0.0,0.04049999999999998,-0.12170000000000003,0.13,10.702791276576907,2.1999999999999993
AUT,2022,0.0,-0.12970000000000015,0.8973,1.8,3.46977786824223,2.3
AUT,2023,0.0,0.028299999999999992,3.0850999999999997,1.37,-4.654388827494493,0.8999999999999997
BEL,2001,0.0,-0.028000000000000025,-0.12989999999999924,-0.45999999999999996,-2.7019487585936863,0.1999999999999993
BEL,2002,0.0,0.050000000000000044,-0.9465000000000003,-0.13999999999999968,0.27066053811952706,-1.0
BEL,2003,0.0,0.1856,-0.9900000000000002,-0.8100000000000005,-0.46761059077435885,-2.2999999999999994
BEL,2004,0.0,0.11270000000000002,-0.22309999999999963,-0.02999999999999936,2.6473087023920927,1.1999999999999997
BEL,2005,0.0,0.00019999999999997797,0.07749999999999968,-0.7200000000000002,-1.101408759161493,-3.0
BEL,2006,0.0,0.011500000000000066,0.8938999999999999,0.3799999999999999,0.42168556709094585,2.5999999999999996
BEL,2007,0.0,0.1149,1.1991999999999998,0.52,0.8047690024943099,-0.20000000000000018
BEL,2008,0.0,0.10030000000000006,0.36630000000000074,0.08999999999999986,-3.315324002581721,-1.1999999999999997
BEL,2009,0.0,-0.07600000000000007,-3.4254000000000007,-0.52,-3.5038301801474048,-4.300000000000001
BEL,2010,0.0,-0.06909999999999994,-0.4041999999999999,-0.43999999999999995,5.59910022414617,0.9000000000000008
BEL,2011,0.0,0.0662999999999998,0.5791,0.7700000000000005,-0.19162648759771805,-0.3000000000000007
BEL,2012,0.0,-0.10719999999999996,-0.8197,-1.2300000000000004,-1.8416488008359044,0.10000000000000053
BEL,2013,0.0,0.043300000000000116,-0.35319999999999996,-0.5899999999999999,-0.7040008123089248,0.8999999999999995
BEL,2014,0.0,0.00039999999999995595,-0.01200000000000001,-0.7000000000000002,0.8984743650291227,-0.10000000000000009
BEL,2015,0.0,-0.21900000000000008,-0.2287,-0.87,-0.00823304785875223,0.40000000000000036
BEL,2016,0.0,-0.0025999999999999357,-0.24459999999999998,-0.36,0.4988715934900467,-0.10000000000000009
BEL,2017,0.0,0.02279999999999993,-0.06420000000000003,0.24,0.3754599608954079,1.2
BEL,2018,0.0,0.05130000000000012,0.006900000000000017,0.07000000000000006,0.140628707265833,-0.3999999999999997
BEL,2019,0.0,-0.06150000000000011,-0.03489999999999999,-0.6000000000000001,0.7149270120662798,-1.2000000000000002
BEL,2020,0.0,0.022700000000000164,-0.07030000000000003,-0.33999999999999997,-7.615796721592549,-7.0
BEL,2021,0.0,0.04049999999999998,-0.12170000000000003,0.13999999999999999,12.388671912656633,3.3
BEL,2022,0.0,-0.12970000000000015,0.8973,1.74,2.251843738114335,1.7000000000000002
BEL,2023,0.0,0.028299999999999992,3.0850999999999997,1.3599999999999999,-5.5509153700852965,-0.20000000000000018
BGR,2005,-0.0006544050119005052,-0.0007117544495234274,0.56180275,-1.4900000000000002,1.6604085364157584,-0.3999999999999999
BGR,2006,0.0,0.00587994682482873,0.10841650000000014,0.3099999999999996,-0.09711719419509457,0.7999999999999998
BGR,2007,0.0,0.05874833827589743,0.8417417500000002,0.3600000000000003,4.422626819558982,-2.9
